,AI_Optimized
2021-05-20,111.46939166336058
2021-05-21,114.36245145301817
2021-05-24,119.09393938894269
2021-05-25,119.36663400983807
2021-05-26,119.76520451440807
2021-05-27,118.148010781002
2021-05-28,123.91887532911295
2021-06-01,124.07142564115519
2021-06-02,127.99045190801614
2021-06-03,129.45128886365885
2021-06-04,134.09314984521862
2021-06-07,134.4039966282844
2021-06-08,133.16822242746346
2021-06-09,132.44527103948587
2021-06-10,132.95457906980508
2021-06-11,136.00850214262002
2021-06-14,137.48494414930337
2021-06-15,135.72812166948313
2021-06-16,135.89406024026863
2021-06-17,142.356753579235
2021-06-18,142.21560808019632
2021-06-21,140.60184162435525
2021-06-22,144.10784448423377
2021-06-23,145.408809879589
2021-06-24,146.53994273347845
2021-06-25,145.2084964440345
2021-06-28,152.487611051464
2021-06-29,152.80615827093118
2021-06-30,152.62114361906046
2021-07-01,154.2196550436973
2021-07-02,156.3179218739509
2021-07-06,157.9316737456321
2021-07-07,155.43855537157052
2021-07-08,151.86004006891244
2021-07-09,152.98547051630015
2021-07-12,156.51250373468395
2021-07-13,154.50957355737683
2021-07-14,151.39269066648478
2021-07-15,144.71444344491954
2021-07-16,138.57032649374005
2021-07-19,143.29145238409038
2021-07-20,142.0115173472404
2021-07-21,148.10030199594496
2021-07-22,149.50424614400862
2021-07-23,149.22955349321364
2021-07-26,147.21521850290299
2021-07-27,146.5590333987236
2021-07-28,148.8099234618187
2021-07-29,150.0231067990303
2021-07-30,148.77939881525037
2021-08-02,150.69456151857375
2021-08-03,151.19049587430953
2021-08-04,154.69272143678666
2021-08-05,157.4624429865837
2021-08-06,155.3947008028984
2021-08-09,154.8529284327507
2021-08-10,152.11376069784166
2021-08-11,150.3053977971077
2021-08-12,151.87723479337694
2021-08-13,154.03650716428757
2021-08-16,152.22058966875076
2021-08-17,148.46656858644485
2021-08-18,145.2771440844536
2021-08-19,151.0607843565941
2021-08-20,158.82823497247696
2021-08-23,167.54176003789902
2021-08-24,166.2828261912346
2021-08-25,169.48746197195052
2021-08-26,168.38107843732834
2021-08-27,172.71496571531296
2021-08-30,173.11174236822126
2021-08-31,170.8299630545616
2021-09-01,171.25732269067763
2021-09-02,170.91389489450452
2021-09-03,174.3251298836708
2021-09-07,172.9438495200157
2021-09-08,170.4789077427864
2021-09-09,169.24260851221084
2021-09-10,171.53965744123457
2021-09-13,169.05184770135878
2021-09-14,169.73864495706556
2021-09-15,170.49417735815047
2021-09-16,169.73864495706556
2021-09-17,167.12869287843702
2021-09-20,161.1227462576866
2021-09-21,162.1377308625221
2021-09-22,167.4415960280418
2021-09-23,171.57018208780283
2021-09-24,168.51000241041177
2021-09-27,165.29714116353983
2021-09-28,157.96335054082866
2021-09-29,156.57441349325174
2021-09-30,158.09307664270395
2021-10-01,158.29146496915808
2021-10-04,150.5837219037055
2021-10-05,156.0707641169547
2021-10-06,157.9710072247504
2021-10-07,160.83276940736758
2021-10-08,158.97064929342258
2021-10-11,157.93282589426028
2021-10-12,157.74966343069065
2021-10-13,159.79490225572576
2021-10-14,165.95348669347754
2021-10-15,166.8387306122779
2021-10-18,169.58602172422403
2021-10-19,170.10495530004494
2021-10-20,168.67789525861733
2021-10-21,173.17280624551765
2021-10-22,173.4322730334281
2021-10-25,176.79014458169925
2021-10-26,188.62645912275303
2021-10-27,186.5964607447623
2021-10-28,190.33589766721715
2021-10-29,195.113187157154
2021-11-01,197.09736210489265
2021-11-02,201.47777285280222
2021-11-03,202.98119555521004
2021-11-04,227.42469957456578
2021-11-05,227.05076171598424
2021-11-08,235.07903544664373
2021-11-09,233.95720728673925
2021-11-10,224.8147620800971
2021-11-11,231.9196105614661
2021-11-12,231.9196105614661
2021-11-15,229.13412353487004
2021-11-16,230.49253593587864
2021-11-17,223.30372644624697
2021-11-18,241.72601422948821
2021-11-19,251.72319329252227
2021-11-22,243.8704545098303
2021-11-23,242.2678449362753
2021-11-24,249.34979628667816
2021-11-26,240.41338150625214
2021-11-29,254.70705406141263
2021-11-30,249.36508048620206
2021-12-01,239.92384959669096
2021-12-02,245.1978026503561
2021-12-03,234.26061614828092
2021-12-06,229.2538011506079
2021-12-07,247.49512867841702
2021-12-08,242.90808955373745
2021-12-09,232.7112241740225
2021-12-10,230.48260412302
2021-12-13,214.93543761281953
2021-12-14,216.27878457670198
2021-12-15,232.47465451707828
2021-12-16,216.66034995088566
2021-12-17,212.18779648103703
2021-12-20,211.5619464293479
2021-12-21,221.9114496260642
2021-12-22,224.39196728601445
2021-12-23,226.22373776330934
2021-12-27,236.18396056528076
2021-12-28,231.42899942407593
2021-12-29,228.9790209948538
2021-12-30,225.81158940591794
2021-12-31,224.4758991259573
2022-01-03,229.89489164934142
2022-01-04,223.55241554002745
2022-01-05,210.68421335287078
2022-01-06,215.06519288301453
2022-01-07,207.9594839362143
2022-01-10,209.12722303132995
2022-01-11,212.30990965147
2022-01-12,213.69897795648555
2022-01-13,202.83054118394833
2022-01-14,205.6315603407858
2022-01-18,197.7015984316824
2022-01-19,191.32086807107908
2022-01-20,184.32198809518798
2022-01-21,178.39930244302732
2022-01-24,178.38403282766325
2022-01-25,170.38527743654234
2022-01-26,173.80459205026608
2022-01-27,167.48499848775847
2022-01-28,174.32362771520596
2022-01-31,186.886452179241
2022-02-01,188.04662209539396
2022-02-02,192.65658751935942
2022-02-03,182.78026738901121
2022-02-04,185.61186952905635
2022-02-07,188.73352144021968
2022-02-08,191.63382955732325
2022-02-09,203.8227015786169
2022-02-10,197.09858717432002
2022-02-11,182.7878949046133
2022-02-14,185.21499078702908
2022-02-15,202.219887826824
2022-02-16,202.3420739180563
2022-02-17,187.0467320960043
2022-02-18,180.44476003046017
2022-02-22,178.5214010293005
2022-02-23,170.86611718683227
2022-02-24,181.25378712987884
2022-02-25,184.37540987272249
2022-02-28,186.1156355786322
2022-03-01,179.18538865900024
2022-03-02,184.88775140829068
2022-03-03,181.02515125589352
2022-03-04,175.08611676053982
2022-03-07,162.99437524385436
2022-03-08,164.23105366258605
2022-03-09,175.68154425477962
2022-03-10,172.96396107645018
2022-03-11,168.70436550874695
2022-03-14,162.82646781148895
2022-03-15,175.36858276853545
2022-03-16,186.99466664533594
2022-03-17,189.05575845212914
2022-03-18,201.93374661054585
2022-03-21,204.07881400976154
2022-03-22,202.47576691141103
2022-03-23,195.68177979726767
2022-03-24,214.88809742994283
2022-03-25,211.39186595716453
2022-03-28,215.41481894712425
2022-03-29,218.7507267506597
2022-03-30,211.37662551012016
2022-03-31,208.2926007313726
2022-04-01,203.9108919932363
2022-04-04,208.8575327473638
2022-04-05,197.94897495107628
2022-04-06,186.31526355867365
2022-04-07,184.79619205274562
2022-04-08,176.48310426435452
2022-04-11,167.30737800493222
2022-04-12,164.15470558576567
2022-04-13,169.49062673463806
2022-04-14,162.27683457918152
2022-04-18,166.28451795377717
2022-04-19,169.4524891566275
2022-04-20,163.98675440092072
2022-04-21,154.07061951417907
2022-04-22,148.97134094305022
2022-04-25,151.9255666991232
2022-04-26,143.42163059492094
2022-04-27,140.57432131471617
2022-04-28,151.00953561887724
2022-04-29,141.5819409188269
2022-05-02,149.10873831300717
2022-05-03,149.63545983018858
2022-05-04,155.22332234048827
2022-05-05,143.8491360726355
2022-05-06,142.55903587636934
2022-05-09,129.39098336267458
2022-05-10,134.31463948087676
2022-05-11,126.94819492425904
2022-05-12,123.47488975076662
2022-05-13,135.1620083365439
2022-05-16,131.78793378667817
2022-05-17,138.75748501710876
2022-05-18,129.29936567049012
2022-05-19,130.71923572111115
2022-05-20,127.43674969511018
2022-05-23,128.99403169984805
2022-05-24,123.31456608152378
2022-05-25,129.58183167848574
2022-05-26,136.26888773260103
2022-05-27,143.59722387952792
2022-05-31,142.53613874540315
2022-06-01,139.84906562948214
2022-06-02,149.5590971692084
2022-06-03,142.90258034582126
2022-06-06,143.40637556371678
2022-06-07,144.4750736292838
2022-06-08,142.3830342352866
2022-06-09,137.80185794286717
2022-06-10,129.60159321508397
2022-06-13,119.4695471338271
2022-06-14,120.91260599861134
2022-06-15,126.18862271089543
2022-06-16,119.11832410421361
2022-06-17,121.24855941286076
2022-06-21,126.48637291841496
2022-06-22,124.91351503095616
2022-06-23,123.8827503651618
2022-06-24,130.7621277352332
2022-06-27,128.79984361143102
2022-06-28,122.02736084098805
2022-06-29,118.66784128265371
2022-06-30,115.7435349305152
2022-07-01,110.88747639322271
2022-07-05,114.25462346715916
2022-07-06,115.52209633941641
2022-07-07,121.08058635177602
2022-07-08,120.92789019813527
2022-07-11,115.69006940050114
2022-07-12,115.15558911027897
2022-07-13,115.78169438476552
2022-07-14,117.36984376382816
2022-07-15,120.34760106182085
2022-07-18,122.93596129178987
2022-07-19,129.73899058504088
2022-07-20,135.96177449445707
2022-07-21,137.81711297407134
2022-07-22,132.23571124658568
2022-07-25,129.98333359918578
2022-07-26,126.23441697282776
